        A,         B,    NUM_LANES,    CAPACITY,    DISTANCE,    POSTSPD,    FTC2
        49,     13415,         1,     10000,      0.85,     12.50,         0
        49,     16241,         1,     10000,      0.90,     12.50,         0
        49,     18483,         1,     10000,      0.53,     12.50,         0
        50,     16127,         1,     10000,      0.38,     12.50,         0
        51,     12696,         1,     10000,      0.74,     12.50,         0
        51,     16159,         1,     10000,      0.78,     12.50,         0
        51,     19156,         1,     10000,      0.71,     12.50,         0
        52,     15903,         1,     10000,      0.20,     12.50,         0
        53,     15991,         1,     10000,      0.42,     12.50,         0
        54,     15759,         1,     10000,      3.36,     12.50,         0
        54,     19179,         1,     10000,      0.15,     12.50,         0
        55,     13079,         1,     10000,      1.05,     12.50,         0
        56,     13079,         1,     10000,      0.40,     12.50,         0
        56,     13187,         1,     10000,      1.06,     12.50,         0
        56,     13331,         1,     10000,      1.67,     12.50,         0
        57,     13331,         1,     10000,      0.79,     12.50,         0
        57,     13511,         1,     10000,      0.69,     12.50,         0
        57,     19117,         1,     10000,      0.69,     12.50,         0
        58,     16365,         1,     10000,      0.38,     12.50,         0
        58,     16467,         1,     10000,      0.89,     12.50,         0
        59,     13525,         1,     10000,      0.60,     12.50,         0
        59,     16665,         1,     10000,      3.17,     12.50,         0
        60,     16549,         1,     10000,      1.67,     12.50,         0
        61,     12109,         1,     10000,      0.95,     12.50,         0
        61,     16085,         1,     10000,      2.38,     12.50,         0
        61,     16531,         1,     10000,      3.48,     12.50,         0
        62,     15172,         1,     10000,      2.54,     12.50,         0
        62,     15449,         1,     10000,      0.68,     12.50,         0
        62,     15689,         1,     10000,      3.62,     12.50,         0
        63,     12685,         1,     10000,      0.82,     12.50,         0
        63,     16159,         1,     10000,      2.06,     12.50,         0
        63,     16261,         1,     10000,      0.45,     12.50,         0
        63,     16345,         1,     10000,      1.14,     12.50,         0
        64,     16315,         1,     10000,      0.28,     12.50,         0
        65,     18449,         1,     10000,      0.61,     12.50,         0
        66,     16699,         1,     10000,      1.01,     12.50,         0
        67,     15653,         1,     10000,      0.50,     12.50,         0
        67,     15723,         1,     10000,      0.50,     12.50,         0
        67,     15743,         1,     10000,      0.51,     12.50,         0
        68,     15669,         1,     10000,      0.68,     12.50,         0
        69,     16165,         1,     10000,      0.25,     12.50,         0
