SEGMENT: 1,SCENARIO:  HEFT-W of 57th,

HR,LANE VOLUME,LANE VOLUME,LANE VOLUME,LANE VOLUME,SHARE %,SHARE %,VC RATIO,VC RATIO,VC RATIO,VC RATIO,CONGESTED SPEED,CONGESTED SPEED,CONGESTED SPEED,CONGESTED SPEED,TOLL,TOLL
FACILITY,GU,GU,XL,XL,CORRIDOR,XL,XL,GU,GU,XL,XL,GU,GU,XL,XL,XL,XL
DIRECTION,NB,SB,NB,SB,TOTAL,NB,SB,NB,SB,NB,SB,NB,SB,NB,SB,NB,SB
  6:   ,   1796,   1369,     70,     48,   3282,    3.7,    3.4,   0.30,   0.23,   0.02,   0.01,   65.0,   65.0,   70.0,   70.0,   0.19,   0.19
  7:   ,   4703,   4697,    210,    214,   9824,    4.3,    4.4,   0.79,   0.79,   0.05,   0.05,   64.8,   64.8,   70.0,   70.0,   0.19,   0.19
  8:   ,   5753,   6078,   1425,   2143,  15400,   19.9,   26.1,   0.97,   1.02,   0.35,   0.52,   34.8,   25.3,   70.0,   69.9,   0.19,   0.19
  9:   ,   5936,   6288,   1630,   2635,  16489,   21.5,   29.5,   1.00,   1.06,   0.40,   0.64,   28.7,   21.4,   70.0,   69.9,   0.19,   0.20
 10:   ,   4937,   5524,    731,   1060,  12252,   12.9,   16.1,   0.83,   0.93,   0.18,   0.26,   64.6,   47.3,   70.0,   70.0,   0.19,   0.19
 11:   ,   4032,   5001,    301,    491,   9824,    6.9,    8.9,   0.68,   0.84,   0.07,   0.12,   64.9,   64.6,   70.0,   70.0,   0.19,   0.19
 12:   ,   3906,   4158,    288,    323,   8675,    6.9,    7.2,   0.66,   0.70,   0.07,   0.08,   64.9,   64.9,   70.0,   70.0,   0.19,   0.19
 13:   ,   4049,   4208,    302,    331,   8890,    6.9,    7.3,   0.68,   0.71,   0.07,   0.08,   64.9,   64.9,   70.0,   70.0,   0.19,   0.19
 14:   ,   4269,   4382,    326,    359,   9335,    7.1,    7.6,   0.72,   0.74,   0.08,   0.09,   64.9,   64.9,   70.0,   70.0,   0.19,   0.19
 15:   ,   4765,   4629,    396,    404,  10193,    7.7,    8.0,   0.80,   0.78,   0.10,   0.10,   64.7,   64.8,   70.0,   70.0,   0.19,   0.19
 16:   ,   5261,   5275,    889,   1017,  12442,   14.5,   16.2,   0.88,   0.89,   0.22,   0.25,   63.5,   63.3,   70.0,   70.0,   0.19,   0.19
 17:   ,   5753,   5429,   1485,   1223,  13890,   20.5,   18.4,   0.97,   0.91,   0.36,   0.30,   34.8,   55.0,   70.0,   70.0,   0.19,   0.19
