;Hours,Direction_1,Direction_2
1,0.0141,0.0146
2,0.0106,0.012
3,0.0079,0.0109
4,0.0079,0.0113
5,0.0117,0.0137
6,0.0257,0.018
7,0.0551,0.0267
8,0.0781,0.0332
9,0.0665,0.0381
10,0.0522,0.0451
11,0.0497,0.0546
12,0.054,0.06
13,0.0562,0.0592
14,0.0573,0.0596
15,0.0594,0.0629
16,0.0606,0.0708
17,0.0595,0.0811
18,0.0568,0.0842
19,0.051,0.0742
20,0.0424,0.0518
21,0.0372,0.0399
22,0.0345,0.0331
23,0.0293,0.0257
24,0.0224,0.0192
