;Hours,  Dir1, Dir2,  Dir3,  Dir4
1,0.002659958,0.00811556,0.002659958,0.00811556
2,0.001931889,0.004193401,0.001931889,0.004193401
3,0.001779407,0.002592017,0.001779407,0.002592017
4,0.003611595,0.002350317,0.003611595,0.002350317
5,0.010023296,0.00349404,0.010023296,0.00349404
6,0.036732342,0.007297381,0.036732342,0.007297381
7,0.108538487,0.021132768,0.108538487,0.021132768
8,0.124400026,0.033713957,0.124400026,0.033713957
9,0.110159239,0.034927417,0.110159239,0.034927417
10,0.077560481,0.036643862,0.077560481,0.036643862
11,0.060517573,0.035373335,0.060517573,0.035373335
12,0.053710136,0.038638051,0.053710136,0.038638051
13,0.049092486,0.044768825,0.049092486,0.044768825
14,0.045379242,0.050585253,0.045379242,0.050585253
15,0.046893369,0.061866974,0.046893369,0.061866974
16,0.048342938,0.090575591,0.048342938,0.090575591
17,0.048383846,0.123478437,0.048383846,0.123478437
18,0.050559026,0.122529967,0.050559026,0.122529967
19,0.042552989,0.096337591,0.042552989,0.096337591
20,0.028419862,0.060174706,0.028419862,0.060174706
21,0.018669843,0.043090296,0.018669843,0.043090296
22,0.014626812,0.034998597,0.014626812,0.034998597
23,0.009932896,0.025192537,0.009932896,0.025192537
24,0.005522262,0.017929122,0.005522262,0.017929122
