;Hours,  Dir1, Dir2,  Dir3,  Dir4
1,0.003683097,0.010775499,0.003683097,0.010775499
2,0.002508988,0.005890373,0.002508988,0.005890373
3,0.00212442,0.003853517,0.00212442,0.003853517
4,0.00369662,0.003499455,0.00369662,0.003499455
5,0.009303256,0.003852211,0.009303256,0.003852211
6,0.031826087,0.007221308,0.031826087,0.007221308
7,0.090633704,0.019683599,0.090633704,0.019683599
8,0.104635625,0.031622304,0.104635625,0.031622304
9,0.096561571,0.034008275,0.096561571,0.034008275
10,0.074382279,0.037594724,0.074382279,0.037594724
11,0.06416778,0.038167637,0.06416778,0.038167637
12,0.061189687,0.042753484,0.061189687,0.042753484
13,0.05789477,0.048322763,0.05789477,0.048322763
14,0.051975216,0.054718446,0.051975216,0.054718446
15,0.051470247,0.063818199,0.051470247,0.063818199
16,0.052849314,0.088184426,0.052849314,0.088184426
17,0.052996128,0.113628224,0.052996128,0.113628224
18,0.05398468,0.11172533,0.05398468,0.11172533
19,0.046170153,0.091227571,0.046170153,0.091227571
20,0.031665604,0.060225945,0.031665604,0.060225945
21,0.021046331,0.044802254,0.021046331,0.044802254
22,0.016878157,0.036891502,0.016878157,0.036891502
23,0.01178606,0.027675204,0.01178606,0.027675204
24,0.006570225,0.01985775,0.006570225,0.01985775
