    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,       224,       223,              0,              1,         0,         0,              0,              0,         0,     60.00,      0.04,         0,       0.334022
  204,  232,       183,       183,              0,              0,         0,         0,              0,              0,         0,     60.00,      0.03,         0,       0.509632
  233,  205,       554,       553,              0,              1,         0,         0,              0,              0,         0,     59.99,      0.10,         0,       0.536754
  249,  251,         4,         0,              0,              4,         0,         0,              0,              0,         0,     64.99,      0.00,      0.23,       0.482941
  252,  250,        12,         0,              0,             12,         0,         0,              0,              0,         0,     64.99,      0.01,      0.23,       0.492454
  277,  283,         4,         0,              0,              4,         0,         0,              0,              0,         0,     64.99,      0.00,      0.23,       0.301527
  284,  278,        16,         0,              0,             16,         0,         0,              0,              0,         0,     64.99,      0.01,      0.23,       0.291929
  286,  158,       678,       677,              0,              1,         0,         0,              0,              0,         0,     59.99,      0.12,         0,       0.307535
