    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,      1936,      1921,              0,             15,         0,         0,              0,              0,         0,     59.98,      0.33,         0,       0.334105
  204,  232,      1576,      1573,              0,              3,         0,         0,              0,              0,         0,     59.99,      0.27,         0,       0.509724
  233,  205,      1318,      1311,              0,              7,         0,         0,              0,              0,         0,     59.99,      0.23,         0,       0.536807
  249,  251,        74,         0,              0,             74,         0,         0,              0,              0,         0,     64.98,      0.04,      0.23,       0.482976
  252,  250,        60,         0,              0,             60,         0,         0,              0,              0,         0,     64.99,      0.03,      0.23,       0.492479
  277,  283,        74,         0,              0,             74,         0,         0,              0,              0,         0,     64.98,      0.04,      0.23,       0.301548
  284,  278,        81,         0,              0,             81,         0,         0,              0,              0,         0,     64.98,      0.05,      0.23,       0.291949
  286,  158,      1609,      1602,              0,              7,         0,         0,              0,              0,         0,     59.99,      0.28,         0,       0.307577
