    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,      1085,      1081,              0,              4,         0,         0,              0,              0,         0,     59.99,      0.19,         0,       0.334055
  204,  232,       887,       887,              0,              1,         0,         0,              0,              0,         0,     59.99,      0.15,         0,       0.509671
  233,  205,       202,       201,              0,              1,         0,         0,              0,              0,         0,     60.00,      0.03,         0,       0.536734
  249,  251,        20,         0,              0,             20,         0,         0,              0,              0,         0,     64.99,      0.01,      0.23,       0.482949
  252,  250,         4,         0,              0,              4,         0,         0,              0,              0,         0,     64.99,      0.00,      0.23,       0.492450
  277,  283,        20,         0,              0,             20,         0,         0,              0,              0,         0,     64.99,      0.01,      0.23,       0.301531
  284,  278,         6,         0,              0,              6,         0,         0,              0,              0,         0,     64.99,      0.00,      0.23,       0.291925
  286,  158,       247,       246,              0,              1,         0,         0,              0,              0,         0,     60.00,      0.04,         0,       0.307521
