    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,      3088,      3076,              0,             12,         0,         0,              0,              0,         0,     59.96,      0.53,         0,       0.334235
  204,  232,      2526,      2523,              0,              3,         0,         0,              0,              0,         0,     59.97,      0.43,         0,       0.509841
  233,  205,       549,       548,              0,              1,         0,         0,              0,              0,         0,     59.99,      0.09,         0,       0.536753
  249,  251,        58,         0,              0,             58,         0,         0,              0,              0,         0,     64.99,      0.03,      0.23,       0.482968
  252,  250,        12,         0,              0,             12,         0,         0,              0,              0,         0,     64.99,      0.01,      0.23,       0.492454
  277,  283,        58,         0,              0,             58,         0,         0,              0,              0,         0,     64.99,      0.03,      0.23,       0.301543
  284,  278,        16,         0,              0,             16,         0,         0,              0,              0,         0,     64.99,      0.01,      0.23,       0.291928
  286,  158,       672,       671,              0,              1,         0,         0,              0,              0,         0,     59.99,      0.12,         0,       0.307535
