    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,       717,       715,              0,              3,         0,         0,              0,              0,         0,     59.99,      0.12,         0,       0.334040
  204,  232,       587,       586,              0,              1,         0,         0,              0,              0,         0,     59.99,      0.10,         0,       0.509653
  233,  205,      1250,      1247,              0,              3,         0,         0,              0,              0,         0,     59.99,      0.21,         0,       0.536802
  249,  251,        13,         0,              0,             13,         0,         0,              0,              0,         0,     64.99,      0.01,      0.23,       0.482945
  252,  250,        27,         0,              0,             27,         0,         0,              0,              0,         0,     64.99,      0.02,      0.23,       0.492462
  277,  283,        13,         0,              0,             13,         0,         0,              0,              0,         0,     64.99,      0.01,      0.23,       0.301529
  284,  278,        37,         0,              0,             37,         0,         0,              0,              0,         0,     64.99,      0.02,      0.23,       0.291935
  286,  158,      1530,      1527,              0,              3,         0,         0,              0,              0,         0,     59.99,      0.26,         0,       0.307572
