    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,      3132,      3089,              0,             43,         0,         0,              0,              0,         0,     59.96,      0.54,         0,       0.334243
  204,  232,      2532,      2522,              0,             10,         0,         0,              0,              0,         0,     59.97,      0.44,         0,       0.509842
  233,  205,       897,       888,              0,              9,         0,         0,              0,              0,         0,     59.99,      0.15,         0,       0.536775
  249,  251,       221,         0,              0,            221,         0,         0,              0,              0,         0,     64.97,      0.12,      0.23,       0.483061
  252,  250,        73,         0,              0,             73,         0,         0,              0,              0,         0,     64.98,      0.04,      0.23,       0.492486
  277,  283,       220,         0,              0,            220,         0,         0,              0,              0,         0,     64.97,      0.12,      0.23,       0.301601
  284,  278,        99,         0,              0,             99,         0,         0,              0,              0,         0,     64.98,      0.05,      0.23,       0.291954
  286,  158,      1091,      1082,              0,              8,         0,         0,              0,              0,         0,     59.99,      0.19,         0,       0.307551
