    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,      3387,      3340,              0,             47,         0,         0,              0,              0,         0,     59.95,      0.58,         0,       0.334295
  204,  232,      2739,      2727,              0,             11,         0,         0,              0,              0,         0,     59.97,      0.47,         0,       0.509879
  233,  205,       834,       826,              0,              8,         0,         0,              0,              0,         0,     59.99,      0.14,         0,       0.536771
  249,  251,       245,         0,              0,            245,         0,         0,              0,              0,         0,     64.97,      0.14,      0.23,       0.483077
  252,  250,        68,         0,              0,             68,         0,         0,              0,              0,         0,     64.99,      0.04,      0.23,       0.492483
  277,  283,       245,         0,              0,            245,         0,         0,              0,              0,         0,     64.97,      0.14,      0.23,       0.301611
  284,  278,        92,         0,              0,             92,         0,         0,              0,              0,         0,     64.98,      0.05,      0.23,       0.291952
  286,  158,      1014,      1006,              0,              8,         0,         0,              0,              0,         0,     59.99,      0.17,         0,       0.307548
