    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,       126,       125,              0,              0,         0,         0,              0,              0,         0,     60.00,      0.02,         0,       0.334019
  204,  232,       103,       103,              0,              0,         0,         0,              0,              0,         0,     60.00,      0.02,         0,       0.509628
  233,  205,        98,        97,              0,              0,         0,         0,              0,              0,         0,     60.00,      0.02,         0,       0.536729
  249,  251,         2,         0,              0,              2,         0,         0,              0,              0,         0,     64.99,      0.00,      0.23,       0.482940
  252,  250,         2,         0,              0,              2,         0,         0,              0,              0,         0,     64.99,      0.00,      0.23,       0.492449
  277,  283,         2,         0,              0,              2,         0,         0,              0,              0,         0,     64.99,      0.00,      0.23,       0.301526
  284,  278,         3,         0,              0,              3,         0,         0,              0,              0,         0,     64.99,      0.00,      0.23,       0.291925
  286,  158,       120,       119,              0,              0,         0,         0,              0,              0,         0,     60.00,      0.02,         0,       0.307517
