    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,      2416,      2383,              0,             33,         0,         0,              0,              0,         0,     59.97,      0.42,         0,       0.334146
  204,  232,      1954,      1946,              0,              8,         0,         0,              0,              0,         0,     59.98,      0.34,         0,       0.509762
  233,  205,       991,       982,              0,              9,         0,         0,              0,              0,         0,     59.99,      0.17,         0,       0.536782
  249,  251,       167,         0,              0,            167,         0,         0,              0,              0,         0,     64.98,      0.09,      0.23,       0.483028
  252,  250,        81,         0,              0,             81,         0,         0,              0,              0,         0,     64.98,      0.04,      0.23,       0.492490
  277,  283,       165,         0,              0,            165,         0,         0,              0,              0,         0,     64.98,      0.09,      0.23,       0.301580
  284,  278,       110,         0,              0,            110,         0,         0,              0,              0,         0,     64.98,      0.06,      0.23,       0.291958
  286,  158,      1205,      1196,              0,              9,         0,         0,              0,              0,         0,     59.99,      0.21,         0,       0.307556
