    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,       575,       573,              0,              2,         0,         0,              0,              0,         0,     59.99,      0.10,         0,       0.334034
  204,  232,       471,       470,              0,              0,         0,         0,              0,              0,         0,     59.99,      0.08,         0,       0.509646
  233,  205,      1030,      1027,              0,              3,         0,         0,              0,              0,         0,     59.99,      0.18,         0,       0.536785
  249,  251,        11,         0,              0,             11,         0,         0,              0,              0,         0,     64.99,      0.01,      0.23,       0.482944
  252,  250,        22,         0,              0,             22,         0,         0,              0,              0,         0,     64.99,      0.01,      0.23,       0.492459
  277,  283,        10,         0,              0,             10,         0,         0,              0,              0,         0,     64.99,      0.01,      0.23,       0.301528
  284,  278,        30,         0,              0,             30,         0,         0,              0,              0,         0,     64.99,      0.02,      0.23,       0.291933
  286,  158,      1260,      1257,              0,              3,         0,         0,              0,              0,         0,     59.99,      0.22,         0,       0.307559
