    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,      1721,      1708,              0,             13,         0,         0,              0,              0,         0,     59.98,      0.30,         0,       0.334090
  204,  232,      1401,      1398,              0,              3,         0,         0,              0,              0,         0,     59.99,      0.24,         0,       0.509709
  233,  205,      1741,      1731,              0,              9,         0,         0,              0,              0,         0,     59.98,      0.30,         0,       0.536847
  249,  251,        66,         0,              0,             66,         0,         0,              0,              0,         0,     64.99,      0.04,      0.23,       0.482972
  252,  250,        79,         0,              0,             79,         0,         0,              0,              0,         0,     64.98,      0.04,      0.23,       0.492489
  277,  283,        65,         0,              0,             65,         0,         0,              0,              0,         0,     64.99,      0.04,      0.23,       0.301546
  284,  278,       108,         0,              0,            108,         0,         0,              0,              0,         0,     64.98,      0.06,      0.23,       0.291957
  286,  158,      2124,      2115,              0,              9,         0,         0,              0,              0,         0,     59.98,      0.37,         0,       0.307610
