    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,       126,       125,              0,              0,         0,         0,              0,              0,         0,     60.00,      0.02,         0,       0.334019
  204,  232,       103,       103,              0,              0,         0,         0,              0,              0,         0,     60.00,      0.02,         0,       0.509628
  233,  205,       301,       300,              0,              1,         0,         0,              0,              0,         0,     60.00,      0.05,         0,       0.536740
  249,  251,         2,         0,              0,              2,         0,         0,              0,              0,         0,     64.99,      0.00,      0.23,       0.482940
  252,  250,         7,         0,              0,              7,         0,         0,              0,              0,         0,     64.99,      0.00,      0.23,       0.492451
  277,  283,         2,         0,              0,              2,         0,         0,              0,              0,         0,     64.99,      0.00,      0.23,       0.301526
  284,  278,         9,         0,              0,              9,         0,         0,              0,              0,         0,     64.99,      0.00,      0.23,       0.291926
  286,  158,       368,       367,              0,              1,         0,         0,              0,              0,         0,     60.00,      0.06,         0,       0.307525
