    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,      1723,      1699,              0,             24,         0,         0,              0,              0,         0,     59.98,      0.30,         0,       0.334090
  204,  232,      1393,      1388,              0,              5,         0,         0,              0,              0,         0,     59.99,      0.24,         0,       0.509708
  233,  205,      2988,      2958,              0,             30,         0,         0,              0,              0,         0,     59.96,      0.51,         0,       0.537051
  249,  251,       118,         0,              0,            118,         0,         0,              0,              0,         0,     64.98,      0.07,      0.23,       0.483000
  252,  250,       253,         0,              0,            253,         0,         0,              0,              0,         0,     64.97,      0.14,      0.23,       0.492594
  277,  283,       117,         0,              0,            117,         0,         0,              0,              0,         0,     64.98,      0.06,      0.23,       0.301563
  284,  278,       344,         0,              0,            344,         0,         0,              0,              0,         0,     64.96,      0.19,      0.23,       0.292050
  286,  158,      3630,      3602,              0,             28,         0,         0,              0,              0,         0,     59.94,      0.62,         0,       0.307832
