    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,      1079,      1075,              0,              4,         0,         0,              0,              0,         0,     59.99,      0.19,         0,       0.334055
  204,  232,       883,       882,              0,              1,         0,         0,              0,              0,         0,     59.99,      0.15,         0,       0.509671
  233,  205,      1681,      1676,              0,              4,         0,         0,              0,              0,         0,     59.98,      0.29,         0,       0.536841
  249,  251,        20,         0,              0,             20,         0,         0,              0,              0,         0,     64.99,      0.01,      0.23,       0.482949
  252,  250,        37,         0,              0,             37,         0,         0,              0,              0,         0,     64.99,      0.02,      0.23,       0.492466
  277,  283,        20,         0,              0,             20,         0,         0,              0,              0,         0,     64.99,      0.01,      0.23,       0.301531
  284,  278,        50,         0,              0,             50,         0,         0,              0,              0,         0,     64.99,      0.03,      0.23,       0.291939
  286,  158,      2057,      2053,              0,              4,         0,         0,              0,              0,         0,     59.98,      0.35,         0,       0.307605
