    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,       317,       316,              0,              1,         0,         0,              0,              0,         0,     60.00,      0.05,         0,       0.334025
  204,  232,       259,       259,              0,              0,         0,         0,              0,              0,         0,     60.00,      0.04,         0,       0.509636
  233,  205,       108,       107,              0,              0,         0,         0,              0,              0,         0,     60.00,      0.02,         0,       0.536730
  249,  251,         6,         0,              0,              6,         0,         0,              0,              0,         0,     64.99,      0.00,      0.23,       0.482942
  252,  250,         2,         0,              0,              2,         0,         0,              0,              0,         0,     64.99,      0.00,      0.23,       0.492449
  277,  283,         6,         0,              0,              6,         0,         0,              0,              0,         0,     64.99,      0.00,      0.23,       0.301527
  284,  278,         3,         0,              0,              3,         0,         0,              0,              0,         0,     64.99,      0.00,      0.23,       0.291925
  286,  158,       132,       131,              0,              0,         0,         0,              0,              0,         0,     60.00,      0.02,         0,       0.307518
