    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,       141,       140,              0,              1,         0,         0,              0,              0,         0,     60.00,      0.02,         0,       0.334020
  204,  232,       114,       114,              0,              0,         0,         0,              0,              0,         0,     60.00,      0.02,         0,       0.509629
  233,  205,       269,       268,              0,              1,         0,         0,              0,              0,         0,     60.00,      0.05,         0,       0.536738
  249,  251,         3,         0,              0,              3,         0,         0,              0,              0,         0,     64.99,      0.00,      0.18,       0.482940
  252,  250,         6,         0,              0,              6,         0,         0,              0,              0,         0,     64.99,      0.00,      0.18,       0.492451
  277,  283,         3,         0,              0,              3,         0,         0,              0,              0,         0,     64.99,      0.00,      0.18,       0.301526
  284,  278,         8,         0,              0,              8,         0,         0,              0,              0,         0,     64.99,      0.00,      0.18,       0.291926
  286,  158,       328,       328,              0,              0,         0,         0,              0,              0,         0,     60.00,      0.06,         0,       0.307524
