    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,       119,       119,              0,              1,         0,         0,              0,              0,         0,     60.00,      0.02,         0,       0.334019
  204,  232,        97,        97,              0,              0,         0,         0,              0,              0,         0,     60.00,      0.02,         0,       0.509628
  233,  205,       176,       175,              0,              1,         0,         0,              0,              0,         0,     60.00,      0.03,         0,       0.536733
  249,  251,         2,         0,              0,              2,         0,         0,              0,              0,         0,     64.99,      0.00,      0.18,       0.482940
  252,  250,         4,         0,              0,              4,         0,         0,              0,              0,         0,     64.99,      0.00,      0.18,       0.492450
  277,  283,         2,         0,              0,              2,         0,         0,              0,              0,         0,     64.99,      0.00,      0.18,       0.301526
  284,  278,         6,         0,              0,              6,         0,         0,              0,              0,         0,     64.99,      0.00,      0.18,       0.291925
  286,  158,       215,       215,              0,              0,         0,         0,              0,              0,         0,     60.00,      0.04,         0,       0.307520
