    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,      2822,      2770,              0,             52,         0,         0,              0,              0,         0,     59.97,      0.48,         0,       0.334194
  204,  232,      2264,      2253,              0,             11,         0,         0,              0,              0,         0,     59.98,      0.39,         0,       0.509801
  233,  205,      3769,      3721,              0,             48,         0,         0,              0,              0,         0,     59.93,      0.65,         0,       0.537355
  249,  251,       204,         0,              0,            204,         0,         0,              0,              0,         0,     64.97,      0.11,      0.18,       0.483050
  252,  250,       349,         0,              0,            349,         0,         0,              0,              0,         0,     64.96,      0.19,      0.18,       0.492665
  277,  283,       198,         0,              0,            198,         0,         0,              0,              0,         0,     64.98,      0.11,      0.18,       0.301593
  284,  278,       493,         0,              0,            493,         0,         0,              0,              0,         0,     64.94,      0.27,      0.18,       0.292129
  286,  158,      4550,      4524,              0,             26,         0,         0,              0,              0,         0,     59.82,      0.78,         0,       0.308444
