    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,      4984,      4958,              0,             27,         0,         0,              0,              0,         0,     59.47,      0.86,         0,       0.336972
  204,  232,      4079,      4070,              0,             10,         0,         0,              0,              0,         0,     59.90,      0.70,         0,       0.510445
  233,  205,       899,       896,              0,              3,         0,         0,              0,              0,         0,     59.99,      0.15,         0,       0.536776
  249,  251,       153,         0,              0,            153,         0,         0,              0,              0,         0,     64.98,      0.08,      0.18,       0.483020
  252,  250,        20,         0,              0,             20,         0,         0,              0,              0,         0,     64.99,      0.01,      0.18,       0.492458
  277,  283,       195,         0,              0,            195,         0,         0,              0,              0,         0,     64.98,      0.11,      0.18,       0.301591
  284,  278,        28,         0,              0,             28,         0,         0,              0,              0,         0,     64.99,      0.02,      0.18,       0.291932
  286,  158,      1097,      1096,              0,              2,         0,         0,              0,              0,         0,     59.99,      0.19,         0,       0.307551
