    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,       947,       942,              0,              5,         0,         0,              0,              0,         0,     59.99,      0.16,         0,       0.334049
  204,  232,       770,       769,              0,              1,         0,         0,              0,              0,         0,     59.99,      0.13,         0,       0.509664
  233,  205,      1685,      1680,              0,              5,         0,         0,              0,              0,         0,     59.98,      0.29,         0,       0.536841
  249,  251,        18,         0,              0,             18,         0,         0,              0,              0,         0,     64.99,      0.01,      0.18,       0.482948
  252,  250,        38,         0,              0,             38,         0,         0,              0,              0,         0,     64.99,      0.02,      0.18,       0.492467
  277,  283,        18,         0,              0,             18,         0,         0,              0,              0,         0,     64.99,      0.01,      0.18,       0.301531
  284,  278,        53,         0,              0,             53,         0,         0,              0,              0,         0,     64.99,      0.03,      0.18,       0.291940
  286,  158,      2057,      2054,              0,              3,         0,         0,              0,              0,         0,     59.98,      0.35,         0,       0.307605
