    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,      1785,      1776,              0,              9,         0,         0,              0,              0,         0,     59.98,      0.31,         0,       0.334094
  204,  232,      1451,      1449,              0,              2,         0,         0,              0,              0,         0,     59.99,      0.25,         0,       0.509713
  233,  205,       330,       329,              0,              1,         0,         0,              0,              0,         0,     60.00,      0.06,         0,       0.536741
  249,  251,        35,         0,              0,             35,         0,         0,              0,              0,         0,     64.99,      0.02,      0.18,       0.482956
  252,  250,         7,         0,              0,              7,         0,         0,              0,              0,         0,     64.99,      0.00,      0.18,       0.492452
  277,  283,        33,         0,              0,             33,         0,         0,              0,              0,         0,     64.99,      0.02,      0.18,       0.301535
  284,  278,        10,         0,              0,             10,         0,         0,              0,              0,         0,     64.99,      0.01,      0.18,       0.291927
  286,  158,       403,       402,              0,              1,         0,         0,              0,              0,         0,     59.99,      0.07,         0,       0.307526
