    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,      3523,      3486,              0,             37,         0,         0,              0,              0,         0,     59.94,      0.61,         0,       0.334330
  204,  232,      2849,      2841,              0,              8,         0,         0,              0,              0,         0,     59.96,      0.49,         0,       0.509902
  233,  205,      1703,      1692,              0,             11,         0,         0,              0,              0,         0,     59.98,      0.29,         0,       0.536843
  249,  251,       147,         0,              0,            147,         0,         0,              0,              0,         0,     64.98,      0.08,      0.18,       0.483016
  252,  250,        79,         0,              0,             79,         0,         0,              0,              0,         0,     64.98,      0.04,      0.18,       0.492489
  277,  283,       143,         0,              0,            143,         0,         0,              0,              0,         0,     64.98,      0.08,      0.18,       0.301572
  284,  278,       112,         0,              0,            112,         0,         0,              0,              0,         0,     64.98,      0.06,      0.18,       0.291959
  286,  158,      2071,      2064,              0,              6,         0,         0,              0,              0,         0,     59.98,      0.36,         0,       0.307606
