    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,      2830,      2778,              0,             52,         0,         0,              0,              0,         0,     59.96,      0.49,         0,       0.334195
  204,  232,      2270,      2259,              0,             11,         0,         0,              0,              0,         0,     59.98,      0.39,         0,       0.509802
  233,  205,      4648,      4556,              0,             92,         0,         0,              0,              0,         0,     59.78,      0.80,         0,       0.538656
  249,  251,       204,         0,              0,            204,         0,         0,              0,              0,         0,     64.97,      0.11,      0.18,       0.483051
  252,  250,       658,         0,              0,            658,         0,         0,              0,              0,         0,     64.92,      0.37,      0.18,       0.492988
  277,  283,       198,         0,              0,            198,         0,         0,              0,              0,         0,     64.98,      0.11,      0.18,       0.301593
  284,  278,      1172,         0,              0,           1172,         0,         0,              0,              0,         0,     64.72,      0.65,      0.18,       0.293147
  286,  158,      5326,      5291,              0,             35,         0,         0,              0,              0,         0,     49.76,      0.92,         0,       0.370811
