    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,      5105,      4998,              0,            108,         0,         0,              0,              0,         0,     59.02,      0.88,         0,       0.339568
  204,  232,      4218,      4177,              0,             41,         0,         0,              0,              0,         0,     59.88,      0.72,         0,       0.510588
  233,  205,      1363,      1348,              0,             16,         0,         0,              0,              0,         0,     59.99,      0.23,         0,       0.536811
  249,  251,       668,         0,              0,            668,         0,         0,              0,              0,         0,     64.92,      0.37,      0.18,       0.483482
  252,  250,       113,         0,              0,            113,         0,         0,              0,              0,         0,     64.98,      0.06,      0.18,       0.492508
  277,  283,       874,         0,              0,            874,         0,         0,              0,              0,         0,     64.87,      0.49,      0.18,       0.302092
  284,  278,       160,         0,              0,            160,         0,         0,              0,              0,         0,     64.98,      0.09,      0.18,       0.291975
  286,  158,      1649,      1640,              0,              9,         0,         0,              0,              0,         0,     59.98,      0.28,         0,       0.307579
