    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,      2590,      2577,              0,             13,         0,         0,              0,              0,         0,     59.97,      0.44,         0,       0.334165
  204,  232,      2106,      2103,              0,              3,         0,         0,              0,              0,         0,     59.98,      0.36,         0,       0.509780
  233,  205,      4135,      4117,              0,             18,         0,         0,              0,              0,         0,     59.89,      0.71,         0,       0.537646
  249,  251,        50,         0,              0,             50,         0,         0,              0,              0,         0,     64.99,      0.03,      0.18,       0.482964
  252,  250,       125,         0,              0,            125,         0,         0,              0,              0,         0,     64.98,      0.07,      0.18,       0.492514
  277,  283,        48,         0,              0,             48,         0,         0,              0,              0,         0,     64.99,      0.03,      0.18,       0.301540
  284,  278,       219,         0,              0,            219,         0,         0,              0,              0,         0,     64.97,      0.12,      0.18,       0.291997
  286,  158,      4998,      4991,              0,              8,         0,         0,              0,              0,         0,     59.44,      0.86,         0,       0.310398
