    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,       369,       367,              0,              2,         0,         0,              0,              0,         0,     60.00,      0.06,         0,       0.334027
  204,  232,       300,       299,              0,              0,         0,         0,              0,              0,         0,     60.00,      0.05,         0,       0.509638
  233,  205,       907,       904,              0,              3,         0,         0,              0,              0,         0,     59.99,      0.16,         0,       0.536776
  249,  251,         7,         0,              0,              7,         0,         0,              0,              0,         0,     64.99,      0.00,      0.18,       0.482942
  252,  250,        20,         0,              0,             20,         0,         0,              0,              0,         0,     64.99,      0.01,      0.18,       0.492458
  277,  283,         7,         0,              0,              7,         0,         0,              0,              0,         0,     64.99,      0.00,      0.18,       0.301527
  284,  278,        29,         0,              0,             29,         0,         0,              0,              0,         0,     64.99,      0.02,      0.18,       0.291932
  286,  158,      1107,      1105,              0,              2,         0,         0,              0,              0,         0,     59.99,      0.19,         0,       0.307552
