    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,      2883,      2829,              0,             53,         0,         0,              0,              0,         0,     59.96,      0.50,         0,       0.334203
  204,  232,      2312,      2301,              0,             12,         0,         0,              0,              0,         0,     59.98,      0.40,         0,       0.509808
  233,  205,      4590,      4502,              0,             88,         0,         0,              0,              0,         0,     59.80,      0.79,         0,       0.538461
  249,  251,       208,         0,              0,            208,         0,         0,              0,              0,         0,     64.97,      0.12,      0.18,       0.483053
  252,  250,       627,         0,              0,            627,         0,         0,              0,              0,         0,     64.92,      0.35,      0.18,       0.492948
  277,  283,       202,         0,              0,            202,         0,         0,              0,              0,         0,     64.97,      0.11,      0.18,       0.301594
  284,  278,      1116,         0,              0,           1116,         0,         0,              0,              0,         0,     64.76,      0.62,      0.18,       0.292958
  286,  158,      5274,      5240,              0,             34,         0,         0,              0,              0,         0,     53.75,      0.91,         0,       0.343227
