    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,      2830,      2800,              0,             30,         0,         0,              0,              0,         0,     59.96,      0.49,         0,       0.334195
  204,  232,      2288,      2282,              0,              6,         0,         0,              0,              0,         0,     59.98,      0.39,         0,       0.509804
  233,  205,      2844,      2825,              0,             19,         0,         0,              0,              0,         0,     59.96,      0.49,         0,       0.537017
  249,  251,       115,         0,              0,            115,         0,         0,              0,              0,         0,     64.98,      0.06,      0.18,       0.482998
  252,  250,       136,         0,              0,            136,         0,         0,              0,              0,         0,     64.98,      0.08,      0.18,       0.492521
  277,  283,       112,         0,              0,            112,         0,         0,              0,              0,         0,     64.98,      0.06,      0.18,       0.301561
  284,  278,       192,         0,              0,            192,         0,         0,              0,              0,         0,     64.98,      0.11,      0.18,       0.291987
  286,  158,      3457,      3447,              0,             11,         0,         0,              0,              0,         0,     59.94,      0.59,         0,       0.307788
