    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,      4874,      4776,              0,             98,         0,         0,              0,              0,         0,     59.63,      0.84,         0,       0.336048
  204,  232,      3970,      3937,              0,             33,         0,         0,              0,              0,         0,     59.91,      0.68,         0,       0.510354
  233,  205,      1466,      1449,              0,             17,         0,         0,              0,              0,         0,     59.99,      0.25,         0,       0.536820
  249,  251,       539,         0,              0,            539,         0,         0,              0,              0,         0,     64.94,      0.30,      0.18,       0.483325
  252,  250,       122,         0,              0,            122,         0,         0,              0,              0,         0,     64.98,      0.07,      0.18,       0.492512
  277,  283,       644,         0,              0,            644,         0,         0,              0,              0,         0,     64.92,      0.36,      0.18,       0.301844
  284,  278,       172,         0,              0,            172,         0,         0,              0,              0,         0,     64.98,      0.10,      0.18,       0.291979
  286,  158,      1773,      1763,              0,             10,         0,         0,              0,              0,         0,     59.98,      0.30,         0,       0.307586
