    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,       522,       519,              0,              3,         0,         0,              0,              0,         0,     59.99,      0.09,         0,       0.334032
  204,  232,       424,       424,              0,              1,         0,         0,              0,              0,         0,     59.99,      0.07,         0,       0.509644
  233,  205,       176,       175,              0,              1,         0,         0,              0,              0,         0,     60.00,      0.03,         0,       0.536733
  249,  251,        10,         0,              0,             10,         0,         0,              0,              0,         0,     64.99,      0.01,      0.18,       0.482944
  252,  250,         4,         0,              0,              4,         0,         0,              0,              0,         0,     64.99,      0.00,      0.18,       0.492450
  277,  283,        10,         0,              0,             10,         0,         0,              0,              0,         0,     64.99,      0.01,      0.18,       0.301528
  284,  278,         6,         0,              0,              6,         0,         0,              0,              0,         0,     64.99,      0.00,      0.18,       0.291925
  286,  158,       215,       214,              0,              0,         0,         0,              0,              0,         0,     60.00,      0.04,         0,       0.307520
