    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,       207,       206,              0,              1,         0,         0,              0,              0,         0,     60.00,      0.04,         0,       0.334022
  204,  232,       169,       168,              0,              0,         0,         0,              0,              0,         0,     60.00,      0.03,         0,       0.509631
  233,  205,       160,       159,              0,              1,         0,         0,              0,              0,         0,     60.00,      0.03,         0,       0.536732
  249,  251,         4,         0,              0,              4,         0,         0,              0,              0,         0,     64.99,      0.00,      0.18,       0.482941
  252,  250,         4,         0,              0,              4,         0,         0,              0,              0,         0,     64.99,      0.00,      0.18,       0.492450
  277,  283,         4,         0,              0,              4,         0,         0,              0,              0,         0,     64.99,      0.00,      0.18,       0.301526
  284,  278,         5,         0,              0,              5,         0,         0,              0,              0,         0,     64.99,      0.00,      0.18,       0.291925
  286,  158,       195,       195,              0,              0,         0,         0,              0,              0,         0,     60.00,      0.03,         0,       0.307520
