    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,       207,       206,              0,              1,         0,         0,              0,              0,         0,     60.00,      0.04,         0,       0.334022
  204,  232,       168,       168,              0,              0,         0,         0,              0,              0,         0,     60.00,      0.03,         0,       0.509631
  233,  205,       492,       491,              0,              2,         0,         0,              0,              0,         0,     59.99,      0.08,         0,       0.536750
  249,  251,         4,         0,              0,              4,         0,         0,              0,              0,         0,     64.99,      0.00,      0.18,       0.482941
  252,  250,        11,         0,              0,             11,         0,         0,              0,              0,         0,     64.99,      0.01,      0.18,       0.492454
  277,  283,         4,         0,              0,              4,         0,         0,              0,              0,         0,     64.99,      0.00,      0.18,       0.301526
  284,  278,        15,         0,              0,             15,         0,         0,              0,              0,         0,     64.99,      0.01,      0.18,       0.291928
  286,  158,       601,       600,              0,              1,         0,         0,              0,              0,         0,     59.99,      0.10,         0,       0.307532
