  A,  B,  Dir1, Dir2, Dir3, Dir4, FTYPE, Comments: WB=1 EB=2 SB=3 NB=4
27690,27691,0,0,1,0,91,
27691,21774,0,0,1,0,91,
27692,25200,0,0,0,1,91,
27693,27692,0,0,0,1,91,
27937,93024,0,0,1,0,91,
27938,27941,0,0,0,1,91,
27939,21599,0,0,0,1,91,
27940,21933,0,0,1,0,91,
27941,21932,0,0,0,1,91,
27942,27937,0,0,1,0,91,
28979,21706,0,0,1,0,91,
29402,26739,1,0,0,0,91,
29403,26239,0,1,0,0,91,
80135,22886,0,0,0,1,91,
85001,23888,0,0,1,0,91,
92000,92001,1,0,0,0,96,
92001,92002,1,0,0,0,96,
92002,92098,1,0,0,0,96,
92003,92004,0,0,1,0,96,
92004,92005,0,0,1,0,96,
92005,92006,0,0,1,0,96,
92006,92007,0,0,1,0,96,
92007,92008,0,0,1,0,96,
92008,92009,0,0,1,0,96,
92009,93110,0,0,1,0,96,
92010,92011,0,0,1,0,96,
92011,92014,0,0,1,0,96,
92012,21834,0,0,1,0,91,
92013,92012,0,0,1,0,91,
92014,92015,0,0,1,0,96,
92015,92016,0,0,1,0,96,
92016,92017,0,0,1,0,96,
92017,92094,0,0,1,0,96,
92018,92020,0,0,1,0,96,
92020,92022,0,0,1,0,96,
92022,92023,0,0,1,0,96,
92023,92024,0,0,1,0,96,
92024,92025,0,0,1,0,96,
92025,92026,0,0,1,0,96,
92026,93108,0,0,1,0,96,
92027,92028,0,0,1,0,96,
92028,92029,0,0,1,0,96,
92029,92030,0,0,1,0,96,
92031,92032,0,0,1,0,91,
92032,92033,0,0,1,0,96,
92033,93010,0,0,1,0,96,
92034,93051,0,0,1,0,96,
92035,93041,0,0,1,0,96,
92036,92037,0,0,1,0,96,
92037,92100,0,0,1,0,96,
92038,28979,0,0,1,0,91,
92039,123,0,0,0,1,91,
92040,92041,0,0,0,1,96,
92041,93036,0,0,0,1,96,
92042,93048,0,0,0,1,96,
92043,93009,0,0,0,1,96,
92044,92045,0,0,0,1,96,
92046,92047,0,0,0,1,96,
92047,92048,0,0,0,1,96,
92048,92049,0,0,0,1,96,
92049,93107,0,0,0,1,96,
92050,92051,0,0,0,1,96,
92051,92052,0,0,0,1,96,
92052,92053,0,0,0,1,96,
92053,92054,0,0,0,1,96,
92054,92055,0,0,0,1,96,
92055,92056,0,0,0,1,96,
92056,92083,0,0,0,1,96,
92058,92080,0,0,0,1,91,
92059,92060,0,0,0,1,96,
92060,92061,0,0,0,1,96,
92061,92062,0,0,0,1,96,
92062,92063,0,0,0,1,96,
92063,92064,0,0,0,1,96,
92064,93109,0,0,0,1,96,
92065,23887,0,0,0,1,91,
92066,92065,0,0,0,1,91,
92067,92068,0,0,0,1,96,
92068,92069,0,0,0,1,96,
92069,92070,0,0,0,1,96,
92070,92071,0,0,0,1,96,
92071,92072,0,0,0,1,96,
92072,92073,0,0,0,1,96,
92073,92074,0,1,0,0,96,
92074,92075,0,1,0,0,96,
92075,92077,0,1,0,0,96,
92076,93111,0,1,0,0,91,
92077,19515,0,1,0,0,96,
92078,21910,1,0,0,0,91,
92083,92095,0,0,0,1,96,
92090,92124,0,0,1,0,96,
92091,93016,0,0,0,1,96,
92092,93047,0,0,1,0,96,
92093,93052,0,0,0,1,96,
92094,92018,0,0,1,0,96,
92095,92059,0,0,0,1,96,
92096,92097,1,0,0,0,91,
92097,21906,1,0,0,0,91,
92098,92003,1,0,0,0,96,
92100,92104,0,0,1,0,96,
92101,124,0,0,1,0,91,
92102,92040,0,0,0,1,96,
92103,25926,0,0,0,1,91,
92104,92105,0,0,1,0,96,
92105,92106,0,0,1,0,96,
92106,92107,0,0,1,0,96,
92107,92108,0,0,1,0,96,
92108,92109,0,0,1,0,96,
92109,92110,0,0,1,0,96,
92110,92111,0,0,1,0,96,
92111,92112,0,0,1,0,96,
92112,92113,0,0,1,0,96,
92113,93023,0,0,1,0,96,
92114,92115,0,0,1,0,96,
92115,92116,1,0,0,0,96,
92116,92118,1,0,0,0,96,
92117,21624,0,1,0,0,91,
92118,92119,1,0,0,0,96,
92119,93018,1,0,0,0,96,
92120,92121,1,0,0,0,96,
92121,93015,1,0,0,0,96,
92122,92123,1,0,0,0,91,
92123,21564,1,0,0,0,91,
92124,92125,1,0,0,0,96,
92125,92126,0,0,1,0,96,
92126,92127,0,0,1,0,96,
92127,92128,0,0,1,0,96,
92128,92129,0,0,1,0,96,
92129,92160,0,0,1,0,96,
92130,27659,0,0,0,1,91,
92131,92132,0,0,0,1,96,
92132,92133,0,0,0,1,96,
92133,92134,0,0,0,1,96,
92134,92135,0,0,0,1,96,
92135,92136,0,1,0,0,96,
92136,92091,0,0,0,1,96,
92137,92138,0,1,0,0,96,
92138,93020,0,1,0,0,96,
92139,92142,0,1,0,0,96,
92140,92141,0,1,0,0,91,
92141,122,0,1,0,0,91,
92142,92143,0,1,0,0,96,
92143,92144,0,1,0,0,96,
92144,92145,0,0,0,1,96,
92145,93022,0,0,0,1,96,
92146,92147,0,0,0,1,96,
92147,92148,0,0,0,1,96,
92148,92149,0,0,0,1,96,
92149,92150,0,0,0,1,96,
92150,92151,0,0,0,1,96,
92151,92152,0,0,0,1,96,
92152,92153,0,0,0,1,96,
92153,92154,0,0,0,1,96,
92154,92155,0,0,0,1,96,
92155,92156,0,0,0,1,96,
92156,92102,0,0,0,1,96,
92160,92162,1,0,0,0,96,
92161,92131,0,0,0,1,96,
92162,92164,1,0,0,0,96,
92163,92161,0,1,0,0,96,
92165,92163,0,1,0,0,96,
93008,25778,0,0,0,1,91,
93009,92044,0,0,0,1,96,
93010,92034,0,0,1,0,96,
93011,21754,0,0,1,0,91,
93012,93017,0,0,0,1,91,
93013,21549,0,0,1,0,91,
93014,93013,0,0,1,0,91,
93015,92090,0,0,1,0,96,
93016,92137,0,1,0,0,96,
93017,26123,0,1,0,0,91,
93018,93019,1,0,0,0,96,
93019,92120,1,0,0,0,96,
93020,92139,0,1,0,0,96,
93021,27938,0,0,0,1,91,
93022,92146,0,0,0,1,96,
93023,92114,0,0,1,0,96,
93024,21584,0,0,1,0,91,
93025,21644,0,0,1,0,91,
93026,21654,0,0,0,1,91,
93027,21674,0,0,0,1,91,
93028,21648,0,0,1,0,91,
93030,93043,0,0,0,1,91,
93031,93038,0,0,1,0,91,
93032,93112,0,0,0,1,96,
93033,93037,0,0,1,0,96,
93035,93030,0,0,0,1,91,
93036,93032,0,0,0,1,96,
93037,92036,0,0,1,0,96,
93038,21714,0,0,1,0,91,
93040,93031,0,0,1,0,91,
93041,93113,0,0,1,0,96,
93042,92042,0,0,0,1,96,
93043,25861,0,0,0,1,91,
93045,93046,0,0,1,0,91,
93046,21744,0,0,1,0,91,
93047,92035,0,0,1,0,96,
93048,92093,0,0,0,1,96,
93049,93050,0,0,0,1,91,
93050,25785,0,0,0,1,91,
93051,92092,0,0,1,0,96,
93052,92043,0,0,0,1,96,
93054,23786,1,0,0,0,91,
93107,92050,0,0,0,1,96,
93108,92027,0,0,1,0,96,
93109,92067,0,0,0,1,96,
93110,92010,0,0,1,0,96,
93111,26622,0,1,0,0,91,
93112,93042,0,0,0,1,96,
93113,93033,0,0,1,0,96,
