1,0,812.37,5287.63,0,0,0,2627,0,595.14,0,447.07,190.77,116.31,405.52,183.93,0,219.96,158.27,25.14,16.45,0.94,8.98,0,11.56,0.81,0.28,0.39,0,0.06,0.33,0.22,0.15,3.86
2,852.11,0,1.32,0,0,0,1596.54,0,295.55,0,262.55,100.92,66.46,227.54,100.61,0,125.7,82.64,14.54,8.08,0.62,5.03,0,5.88,0.43,0.14,0.26,0,0.03,0.09,0.12,0.14,0.16
3,7467.97,46.58,0,0,0,0,485.15,0,428.6,0,340.67,173.95,100.01,348.8,143.67,0,186.03,137.69,21.17,11.44,0.76,6.9,0,10.73,0.59,0.16,0.31,0,0.04,0.26,0.14,0.15,0.18
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1297.74,1251.59,0,0,0,0,0,0,1694.03,0,1043.47,1609.18,977.22,3070.78,1030.42,0,1510.22,1156.77,697.35,80.23,38.97,71.34,0,70.5,16.15,4.67,2.47,0,3.31,1.91,1.75,0.87,121.64
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,130.1,229.41,339.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,39.44,85.2,314.37,1156.29,0,0,0,0,0,0,5.87,575.23,396.11,1108.96,915.34,0,850.85,770.75,96.32,56.08,3.38,28.66,0,36.73,1.99,0.6,1.68,0,0.1,0.97,0.55,0.45,0.61
10,0,0,0,0,0,0,0,0,0,0,0,0,0,86.26,137.39,0,47.8,50.4,12.29,9.35,0.5,5,0,2.97,0.35,0.13,0.32,0,0.03,0.18,0.12,0.09,0.13
11,94.78,201.77,640.66,138.42,0,0,0,0,452.95,0,0,540.01,487.63,1531.92,557.36,0,1089.76,686.83,103.86,41.55,3.7,37.62,0,79.12,3.58,0.8,2.48,0,0.44,1,1.02,0.73,0.17
12,13.38,30.84,116.94,494.51,0,0,0,0,48.63,0,74.54,0,14.04,602.79,1376.39,0,202.58,374.56,118.61,75.48,3.69,38.74,0,29.98,2.28,0.75,1.68,0,0.19,1.14,0.57,0.65,0.77
13,21.32,46.95,156.07,873.76,0,0,0,0,60.82,0.34,75.53,0,0,0,870.48,0,26.18,176.78,71.95,66.17,3.89,35.78,0,41.24,2.5,0.64,1.63,0,0.16,0.67,0.56,0.54,0.65
14,31.18,79.4,343.97,670.45,0,0,0,0,196.83,21.81,318.83,210.1,60.38,0,0,0,0,731.94,450.2,378.49,15.72,201.48,0,191.72,13.55,3.59,9.6,0,0.96,8.58,3.57,1.88,3.66
15,44.81,81.28,258.73,626.97,0,0,0,0,220.82,54.16,236.63,391.91,174.79,0,0,0,0,0,604.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,95.13,0,0,646.44,2822.51,800.98,0,0,0,111.54,1002.89,3046.64,58.81,1148.02,0,581.32,58.69,19.65,70.38,0,4.45,47.81,22.8,25.08,21.23
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,129.19,235.05,830.95,1194.88,0,0,0,0,590.12,158.06,689.42,1254.67,832.69,572.57,96.18,0,352.86,0,543.69,294.28,0,603.06,0,894.19,100.97,25.51,90.86,0,4.99,50.55,26.26,21.04,22.25
19,141.34,247.72,694.83,1128.25,0,0,0,0,601.56,156.17,801.76,1233.51,955.96,801.83,1111.12,0,1114.79,48.56,0,68.59,0,1001.69,0,1026.4,210.11,54.55,163.29,0,3.82,90.58,52.14,47.16,50.83
20,40.68,61.62,217.85,530.37,0,0,0,0,191.59,40.74,395.47,365.14,470.87,492.71,1372.65,0,4796.57,507.66,0,0,0,0,0,385.94,862.87,258.35,424.65,0,31.44,94.2,65.91,112.85,123.31
21,1.3,1.95,5.39,97.06,0,0,0,0,3.7,1.13,5.62,7.52,12.75,10.59,0,0,276.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,12.62,18.32,66.09,103.58,0,0,0,0,44.28,14.78,82.28,98.81,96.08,133.63,251.31,0,2098.7,535.5,575.86,18.02,0,0,0,0,841.65,268.73,465.02,0,24.69,117.3,93.28,128.24,142.88
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1474.4,2268,501.93,2374.88,0,136.83,1614.67,927.19,878.96,843.79
24,9.58,11.53,31.37,81.95,0,0,0,0,35.59,7.21,179.51,60.01,37.95,89.96,200.88,0,1296.69,354.28,602.11,17.34,0,0,5995.61,0,389.36,235.88,345.79,0,20.39,108.27,82.77,122.27,137.17
25,9.12,11.09,40.13,100.65,0,0,0,0,30.73,10.28,126.06,65.1,71.27,94.94,162.35,0,1494.54,458.98,735.92,826.08,0,489.57,2835.84,137.91,0,13.67,40.48,0,4.88,144.33,218.11,293.33,292.6
26,3.07,3.38,12.9,42.23,0,0,0,0,9.37,3.87,28.89,22.44,29.9,30.5,49.52,0,477.31,153.89,221.55,265.72,0,257.84,1409.96,211.76,0,0,0,0,0,0,0,0,0
27,6.17,8.85,15.39,37.17,0,0,0,0,20.41,7.76,128.82,52.45,60.71,67.95,111.32,0,1069.68,353.03,512.02,674.77,0,707.74,3933.32,217.39,0,0,0,0,0,35.84,91.16,259.84,249.29
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.08,24.29,25.79,26.41
29,1.67,1.59,6.62,12.91,0,0,0,0,5.08,1.82,23.18,11.86,13.74,16.23,25.71,0,249.33,80.73,117.04,125.78,0,115.6,1065.5,176.66,73.78,0,0,8.05,0,281.31,236.08,393.13,451.44
30,2.86,5.78,17.65,15.23,0,0,0,0,10.31,4.22,37.43,24.57,32.84,34.04,54.98,0,524.95,166.46,254.43,260,0,236.1,2283.69,326.89,265,0,102.98,45.25,201.81,0,0,0,0
31,2.03,1.81,12.92,13.2,0,0,0,0,6.55,2.44,1.5,15.25,22.79,20.95,36.51,0,332.43,88.47,153.99,148.34,0,106.94,1433.54,175.75,155.17,0,43.89,18.43,35.92,0,0,0,886.62
32,23.17,7.24,8.54,30.08,0,0,0,0,11.33,443.12,4.34,30.46,35.44,45,47.24,0,588.19,173,269.54,323.63,0,222.85,2528.96,403.24,626.57,0,190.69,77.38,221.54,0,7.08,0,325.45
33,23.16,4.86,12.06,46.32,0,0,0,0,9.27,4.83,0.33,29.14,36.41,36.37,58.95,0,565.05,144.95,274.91,301.53,0,234.37,2470.67,527.32,476.64,0,282.4,71.86,649.31,0,546.58,604.29,0
