A,B,PULL,Seg,Dir,LType
204,232,1,1,SB,GU
249,251,1,1,SB,EL
252,250,1,1,NB,EL
233,205,1,1,NB,GU
170,157,1,2,SB,GU
275,277,1,2,SB,EL
278,276,1,2,NB,EL
163,173,1,2,NB,GU
