  A,  B,  Dir1, Dir2, Dir3, Dir4, Comments: 1=I595 EB & 2=I595 WB
  20275.00,  21664.00,         0,         0,         0,      1.00,         0
  20284.00,  26829.00,      1.00,         0,         0,         0,         0
  20285.00,  21303.00,         0,      1.00,         0,         0,         0
  20389.00,  26929.00,      1.00,         0,         0,         0,         0
  20392.00,  21064.00,         0,      1.00,         0,         0,         0
  20395.00,  26245.00,      1.00,         0,         0,         0,         0
  20398.00,  21317.00,         0,      1.00,         0,         0,         0
  20447.00,  20483.00,      1.00,         0,         0,         0,         0
  20448.00,  21312.00,         0,      1.00,         0,         0,         0
  20482.00,  20448.00,         0,      1.00,         0,         0,         0
  20483.00,  26237.00,      1.00,         0,         0,         0,         0
  20536.00,  26217.00,      1.00,         0,         0,         0,         0
  20560.00,  26213.00,      1.00,         0,         0,         0,         0
  20561.00,  21030.00,         0,      1.00,         0,         0,         0
  20583.00,  21018.00,      1.00,         0,         0,         0,         0
  20584.00,  21307.00,         0,      1.00,         0,         0,         0
  20652.00,  26705.00,      1.00,         0,         0,         0,         0
  20696.00,  26934.00,         0,      1.00,         0,         0,         0
  20732.00,  20736.00,         0,         0,         0,      1.00,      1.00
  20734.00,  20803.00,      1.00,         0,         0,         0,         0
  20734.00,  20815.00,      1.00,         0,         0,         0,         0
  20736.00,  20778.00,         0,         0,      1.00,         0,      1.00
  20737.00,  20802.00,         0,         0,      1.00,         0,      1.00
  20744.00,  20742.00,         0,         0,         0,      1.00,      2.00
  20748.00,  20750.00,         0,         0,      1.00,         0,      1.00
  20750.00,  20732.00,      1.00,         0,         0,         0,         0
  20752.00,  20744.00,         0,         0,         0,      1.00,      2.00
  20777.00,  20752.00,         0,         0,         0,      1.00,      2.00
  20778.00,  20780.00,         0,         0,      1.00,         0,      1.00
  20779.00,  20777.00,         0,         0,         0,      1.00,      2.00
  20780.00,  20737.00,         0,         0,      1.00,         0,      1.00
  20802.00,  20816.00,         0,         0,      1.00,         0,      1.00
  20808.00,  20829.00,         0,      1.00,         0,         0,         0
  20809.00,  20810.00,         0,         0,         0,      1.00,      2.00
  20810.00,  20779.00,         0,         0,         0,      1.00,      2.00
  20811.00,  22214.00,         0,      1.00,         0,         0,         0
  20814.00,  21315.00,      1.00,         0,         0,         0,         0
  20824.00,  20830.00,         0,      1.00,         0,         0,         0
  20825.00,  20832.00,         0,         0,         0,      1.00,      2.00
  20829.00,  20830.00,         0,      1.00,         0,         0,         0
  20831.00,  20809.00,         0,         0,         0,      1.00,      2.00
  20832.00,  20831.00,         0,         0,         0,      1.00,      2.00
  20854.00,  21054.00,         0,      1.00,         0,         0,         0
  20894.00,  21662.00,         0,      1.00,         0,         0,         0
  20895.00,  20891.00,         0,      1.00,         0,         0,         0
  20896.00,  20894.00,      1.00,         0,         0,         0,         0
  20896.00, 100334.00,      1.00,         0,         0,         0,         0
  21008.00,  21010.00,         0,      1.00,         0,         0,         0
  21010.00,  20584.00,         0,      1.00,         0,         0,         0
  21012.00,  26259.00,      1.00,         0,         0,         0,         0
  21018.00,  21012.00,      1.00,         0,         0,         0,         0
  21030.00,  26218.00,         0,      1.00,         0,         0,         0
  21034.00,  26226.00,         0,      1.00,         0,         0,         0
  21042.00,  20482.00,         0,      1.00,         0,         0,         0
  21054.00, 100307.00,         0,      1.00,         0,         0,         0
  21056.00,  26243.00,      1.00,         0,         0,         0,         0
  21064.00,  20398.00,         0,      1.00,         0,         0,         0
  21066.00,  21333.00,         0,      1.00,         0,         0,         0
  21070.00,  26703.00,      1.00,         0,         0,         0,         0
  21072.00,  26209.00,      1.00,         0,         0,         0,         0
  21074.00,  21072.00,      1.00,         0,         0,         0,         0
  21094.00, 100321.00,         0,      1.00,         0,         0,         0
  21096.00,  21008.00,         0,      1.00,         0,         0,         0
  21104.00,  20230.00,      1.00,         0,         0,         0,         0
  21106.00,  25482.00,         0,      1.00,         0,         0,         0
  21134.00,  26893.00,         0,      1.00,         0,         0,         0
  21138.00,  26288.00,      1.00,         0,         0,         0,         0
  21210.00,  20231.00,      1.00,         0,         0,         0,         0
  21234.00,  26706.00,         0,      1.00,         0,         0,         0
  21239.00,  20652.00,      1.00,         0,         0,         0,         0
  21304.00,  26830.00,         0,      1.00,         0,         0,         0
  21305.00,  20284.00,      1.00,         0,         0,         0,         0
